id;name;bonus;latitude;longitude;difficuty;star;physical;technical;tactical;mental;created_at;modified_at;deleted_at;route_type;zoune_type
1;Industrial;connect Markets Chief;59789;72727;archive Georgia Aruba;96117;32533;84453;38867;74732;2019-10-22T04:48:44;2019-10-21T22:22:19;2019-10-21T15:26:06;BOULDER;EXTERIOR
2;Small;deliverables reinvent 24 hour;1407;81546;monitor;72900;79017;77127;60595;7404;2019-10-21T13:05:36;2019-10-22T02:43:17;2019-10-21T19:41:55;BOULDER;INTERIOR
3;payment;withdrawal COM;47221;38292;Developer;84891;76078;72172;56127;23598;2019-10-21T16:49:17;2019-10-22T05:10:44;2019-10-21T23:28:24;BOULDER;INTERIOR
4;Outdoors;Harbor Montana;69551;90756;Phased;41038;53984;75555;20306;22879;2019-10-21T12:41:46;2019-10-22T09:28:37;2019-10-21T20:57:06;ROUTE;INTERIOR
5;Squares mint green e-business;Ghana back-end National;31800;90682;contextually-based;64769;42710;52;81801;35256;2019-10-21T14:40:02;2019-10-22T04:00:35;2019-10-22T11:09:27;ROUTE;INTERIOR
6;24/7;Gloves sky blue Oklahoma;40383;36362;Engineer;96244;24687;25178;69630;49724;2019-10-21T18:13:48;2019-10-22T04:06:12;2019-10-22T07:46:13;BOULDER;EXTERIOR
7;paradigms Home;Investor Public-key;14489;53093;Way Dominican Republic;59269;67213;8085;76161;36965;2019-10-22T05:37:16;2019-10-22T05:30:45;2019-10-21T17:50:51;ROUTE;INTERIOR
8;installation;Argentine Peso;85835;59089;Algerian Dinar;1658;71114;51209;80950;22649;2019-10-22T02:57:23;2019-10-21T19:50:26;2019-10-22T09:00:58;ROUTE;EXTERIOR
9;Forint;Concrete Global SMS;25794;22855;Bacon Designer;51663;52965;26082;24185;99625;2019-10-22T09:05:24;2019-10-21T12:09:17;2019-10-21T13:47:29;BOULDER;EXTERIOR
10;Internal AI optical;bypassing Marketing;78534;89855;Home Loan Account Tools Unbranded;66350;97366;506;28392;16080;2019-10-22T03:59:45;2019-10-21T22:09:18;2019-10-21T23:40:11;BOULDER;EXTERIOR
