id;name;description
1;card Licensed Cotton Ball;mindshare Gorgeous
2;Chips;navigating
3;Som Rustic Frozen Keyboard ROI;Benin
4;Tuna Response invoice;alarm Jamaica
5;system Gorgeous Rubber Pants;hack
6;leading-edge;Ergonomic Steel Gloves
7;Developer Shoes Music;Buckinghamshire Hollow Shoes
8;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders
9;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York
10;multi-byte Jamaican Dollar North Carolina;Station
